Author,Date,Text
DrKatMansfield,2018-09-05 21:57:16,"b""RT @THR: .@MMFlint reflects on the first time he met Donald Trump \xe2\x80\x94\xc2\xa0on Roseanne Barr's afternoon talk show in 1998. https://t.co/hq2WnXGu5g"""
JTep,2018-09-05 21:57:16,"b'Ahem.... about Trump\xe2\x80\x99s  \xe2\x80\x9cfailing NYTimes\xe2\x80\x9d:\n\n\xe2\x80\x9cBuoyed by the growth in digital subscriptions, total revenue for the y\xe2\x80\xa6 https://t.co/vUCaCARQZ5'"
BruceDouglass,2018-09-05 21:57:16,"b'RT @MollyJongFast: Someone knows what side his bread is buttered on, part two. https://t.co/CIzMj8AuSq'"
wyattmurphy,2018-09-05 21:57:16,"b'RT @nytimes: In Opinion\n\nIn an anonymous Op-Ed, a senior Trump administration official says he and others are working \xe2\x80\x8bto frustrate the pre\xe2\x80\xa6'"
HappyCamperUke,2018-09-05 21:57:16,"b'RT @NeverTrumpTexan: ""Just wanted to let you know the country is being run by a mad man but we are doing our best to cover it up so billion\xe2\x80\xa6'"
dogswuvwabbits,2018-09-05 21:57:16,"b""@DrDenaGrayson Trump's presidency in a new documentary."""
KatheleenMitro,2018-09-05 21:57:17,"b""RT @kms15423: He couldn't have confirmed that NY Times piece any better. https://t.co/ILuwsXKmiN"""
ArleBear,2018-09-05 21:57:16,"b""RT @MollyMcKew: Hard to feel it outside DC, but the tempo of crisis has changed. We're close to a crisis that will test each of us, and we\xe2\x80\xa6"""
6d7sxe22,2018-09-05 21:57:17,b'RT @ProudResister: \xe2\x80\x94 Deutsche Bank has loaned Donald Trump over $2.5 billion since 1998\n\n\xe2\x80\x94 Deutsche bank was fined $630 million for a $10 b\xe2\x80\xa6'
norihelm1,2018-09-05 21:57:17,b'RT @FrankFigliuzzi1: This is the beginning of the end as it clearly reflects the voice of multiple senior officials. Those who remain silen\xe2\x80\xa6'
tippy1968,2018-09-05 21:57:17,b'RT @ECMcLaughlin: NO. NO. NO. This alone is enough to deny his appointment. https://t.co/sjxRhECDLl'
WiltonDiary,2018-09-05 21:57:17,b'RT @PeterAlexander: Just handed top Trump communications officials a printed copy of NYT op-ed. They say it\xe2\x80\x99s the first they\xe2\x80\x99re seeing it.\xe2\x80\xa6'
Goodluckbeer,2018-09-05 21:57:17,b'RT @krassenstein: WOW!!  This is incredible.  \n\nPeople within the White House are actively working against the President.  Senior officials\xe2\x80\xa6'
chaensaw,2018-09-05 21:57:17,b'RT @VidiVoca: @PalmerReport @realDonaldTrump Trump can only read at a 2nd Amendment level.'
JimPrice47,2018-09-05 21:57:17,b'#lodestar'
LRLeake,2018-09-05 21:57:17,"b'RT @politico: \xe2\x80\x9cGiven the instability many witnessed, there were early whispers within the cabinet of invoking the 25th Amendment, which wou\xe2\x80\xa6'"
LouReed322,2018-09-05 21:57:17,b'RT @thehill: Trump hunting for leakers who talked to Woodward for new book: report https://t.co/BNh2ne4iIG https://t.co/CwGirs89Iy'
DisappearedNews,2018-09-05 21:57:17,b'RT @Amy_Siskind: An unstable tyrant is running our country and making lifetime appointments:\n\xe2\x80\x9cPandemonium\xe2\x80\x9d reigns as Trump cancels meetings\xe2\x80\xa6'
glambymadiii,2018-09-05 21:57:17,b'RT @ambermruffin: Trump supporters finna be butt naked. https://t.co/WplMaPe5Cu'
fates3,2018-09-05 21:57:17,"b'RT @AriBerman: Trump DOJ &amp; ICE have subpoenaed sweeping voter records from 44 counties in Eastern NC, many heavily African-American, just t\xe2\x80\xa6'"
ATUspain,2018-09-05 21:57:17,"b'RT @eldiarioes: \xe2\x9d\x97\xef\xb8\x8f\xe2\x9d\x97\xef\xb8\x8f Los altos funcionarios que plantan cara a Trump desde dentro: ""Trabajamos para frustrar parte de su agenda"" https://t.\xe2\x80\xa6'"
